LM Description,Part#,LM Revision,Qty Per Car,U/M,L/T Wks,Make,System Group,ABC by System,ABC % by System,ABC  by Part,ABC Running $'s by Part,%total $ by part,LM/Prep,Supplier #1,Description Supplier #1,P/N Supp#1,U/M,MOQ #1,Supplier #2,Description Supplier #2,P/N Supp#2,MOQ #2,L/T#2,Supplier #3,Description Supplier #3,P/N Supp#3,MOQ #3,Specifications,Weight (lbs.),X weight
Spray Adhesive  (For Engine Cover),12005,A,0.20,EA,4.0,,Insulation,A,7%,C,"$63,908",100%,prep,Thermo-Tec Automotive Products,Spray Adhesive,,,,,,,,,,,,,,,
"Accelerator foot glide, Clear Anodized",?,A,1.00,EA,,,Interior,A,7%,B,"$64,202",100%,,Advanced Metal Fabrication,"Accelerator foot glide, Clear Anodized",,EA,30,,,,,,,,,,"0.040"" Aluminum 5052 Sheet(0.5529lb/sqft), Type II Clear Anodized",N/A,
"Dead Pedal, Clear Anodized",,01,1.00,EA,,,Interior,,,,,,,Advanced Metal Fabrication,"Dead Pedal, Clear Anodized",,EA,,,,,,,,,,,,,
Spare Tire Ratchet Strap,CT3608,A,2.00,EA,2.0,,Interior,A,7%,C,"$60,914",95%,,AGM Container Controls,Strap Assembly,,EA,80,,,,,,,,,,,,
Charger for 3G 3GS 4G nano touch psp Cellphone Mini USB Car Charger,Phone-Cable-Apple,A,1.00,EA,2.0,Belkin,Interior,,,,,,,AliExpress store number 506471 Order# 1004030402 , Belkin 100pcs/lot car Charger for 3G 3GS 4G nano touch psp Cellphone Mini USB Car Charger,,,100,,,,,,,,,,,,
Rally Fighter Shifter,RF-Shifter-Gen2,A,1.00,EA,6.0,,Interior,,,B,,,,Arizona Parts ,Rally Fighter Shifter,RF-Shifter-Gen2,EA,25,,,,,,,,,,,,
Dash Assembly,RF-DashAssy,B,1.00,EA,7.0,,Interior,,,,,,,Don Horn,Dash Assembly,RF-DashAssy,EA,6,RC Fabrication,,,6,,,,,,,,
Center Console,RF-CenterCounsel,B,1.00,EA,7.0,,Interior,,,,,,,Don Horn,Center Console,RF-CenterCounsel,EA,6,RC Fabrication,,,6,,,,,,,,
LH/RH Door Handle   (Type 1 Hard Anodize),RF-DoorHandle,A,2.00,EA,8.0,,Interior,,,,,,,Electrolurgy,LH/RH Door Handle   (Type 1 Hard Anodize),LMRF-DoorHandle-Extrusion,EA,200,,,,,,,,,,,,
"sun visor holder pair black bug 68-79, ghia 68-74 & type 3 68-73 Empi",4428-B,A,1.00,Pair,4.0,,Interior,,,,,,,http://www.empius.com,"sun visor holder pair black bug 68-79, ghia 68-74 & type 3 68-73 Empi",4428-B,,50,Doghouserepair.com,,,,,,,,,,,
sun visor set black bug 65-77 & convertible 73-79 pair Empi,4424,A,1.00,Pair,4.0,,Interior,,,,,,,http://www.empius.com,sun visor set black bug 65-77 & convertible 73-79 pair Empi,4424,,50,Doghouserepair.com,,,,,,,,,,,
Speedliner Coating,Speedliner 1 gal,A,0.50,Gal,4.0,,Interior,A,7%,B,"$64,202",100%,,Industrial Polymers,Speedliner Coating,Speedliner 1 gal,Gal,1,,,,,,,,,,,,
Color Tube Black,Color Tube Black,A,0.50,Tube,4.0,,Interior,,,B,,,,Industrial Polymers,Color Tube Black,Color Tube Black,Tube,1,,,,,,,,,,,,
Keyport Slide,SLV1-BK,A,1.00,EA,8.0,,Interior,A,7%,B,"$56,485",88%,prep,"Keyport, Inc.",Keyport Slide V.01(Black),SLV1-BK,,50,,,,,,,,,,,,
Ignition Blank,CG16-K,A,1.00,EA,8.0,,Interior,A,7%,C,"$63,644",99%,prep,"Keyport, Inc.",RF Ignition Blade,CG16-K,,50,,,,,,,,,,,,
RF Door Blade(Honda),,A,1.00,EA,8.0,,Interior,A,7%,C,"$63,644",99%,prep,"Keyport, Inc.",RF Door Blade(Honda),,,50,,,,,,,,,,,,
House Key,SC1-K,A,1.00,EA,8.0,,Interior,A,7%,C,"$63,654",99%,prep,"Keyport, Inc.",Spare Blade,SC1-K,,50,,,,,,,,,,,,
Bottle Opener Insert,INS-BO,A,1.00,EA,8.0,,Interior,A,7%,C,"$63,401",99%,prep,"Keyport, Inc.",Bottle Opener Insert,INS-BO,,50,,,,,,,,,,,,
4GB Flash Drive Insert,USB-4,A,1.00,EA,8.0,,Interior,A,7%,C,"$61,846",96%,prep,"Keyport, Inc.",4GB Flash Drive Insert,USB-4,,50,,,,,,,,,,,,
LED Light Insert,LED-1,A,1.00,EA,8.0,,Interior,A,7%,C,"$62,376",97%,prep,"Keyport, Inc.",LED Light Insert,LED-1,,50,,,,,,,,,,,,
Headliner Glue,80H105P,A,0.50,Gal,,,Interior,,,,,,,Keystone Bros.,Contact Cement Industrial Grade,80H105P,Gal,5,,,,,,,,,,,,
Cover over Shifter,RF-CoverShifter,A,1.00,EA,2.0,,Interior,,,,,,,KPAK,Cover over Shifter,RF-CoverShifter,EA,50,,,,,,,,,,,,
Jack Bracket,RFN-5052-062,A,1.00,Ea,,,Interior,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Jack Hold Down Wing Bolt,RFN-0A36-063,A,1.00,EA,,,Interior,Local Motors,,,,,,Local Motors,,,,,,,,,,,,,,,,
Rear Seat Wood back,RF-RearSeatBack,B,1.00,EA,4.0,,Interior,,,,,,,Local Motors,Rear Seat Back,RF-RearSeatBack,EA,6,,,,,,,,,,,,
Lower Seat Mount Driver Inner,RFN-0A36-111,A,1.00,EA,,,Interior,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Lower Seat Mount Driver Outer,RFN-0A36-112,A,1.00,EA,,,Interior,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Lower Seat Mount Passenger Inner,RFN-0A36-113,A,1.00,EA,,,Interior,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Lower Seat Mount Passenger Outer,RFN-0A36-114,A,1.00,EA,,,Interior,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Complete Headliner Sewn Together,RF-CompHeadliner,A,1.00,EA,,,Interior,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Roof Liner Center ,RF-LinerCenter,A,1.00,EA,,,Interior,,,,,,,Local Motors,RF-LinerCenter,,,,,,,,,,,,,,,
Roof Liner LH A-Pillar,RF-LinerLHA-Pillar,A,1.00,EA,,,Interior,,,,,,,Local Motors,RF-LinerLHA-Pillar,,,,,,,,,,,,,,,
Roof Liner RH A-Pillar,RF-LinerRHA-Pillar,A,1.00,EA,,,Interior,,,,,,,Local Motors,RF-LinerRHA-Pillar,,,,,,,,,,,,,,,
Roof Liner LH C-Pillar,RF-LinerLHC-Pillar,A,1.00,EA,,,Interior,,,,,,,Local Motors,RF-LinerLHC-Pillar,,,,,,,,,,,,,,,
Roof Liner RH C-Pillar,RF-LinerRHC-Pillar,A,1.00,EA,,,Interior,,,,,,,Local Motors,RF-LinerRHC-Pillar,,,,,,,,,,,,,,,
Roof Liner Rear Trunk Crossover,RF-LinerCross-Pillar,A,1.00,EA,,,Interior,,,,,,,Local Motors,RF-LinerCross-Pillar,,,,,,,,,,,,,,,
Upper  Seat Mount  Driver Both  &  Passenger Outer ,RFN-0A36-115,A,3.00,EA,,,Interior,Local Motors,,,,,,Local Motors,,,,,,,,,,,,,,,,
Upper Seat Mount Passenger Inner ,RFN-0A36-116,A,1.00,EA,,,Interior,Local Motors,,,,,,Local Motors,,,,,,,,,,,,,,,,
Rear Seat Frame Bend & Weld Tab (Paint Black),RF-RearSeatFrame,B,1.00,EA,2.0,,Interior,,,,,,,Local Motors,Rear Seat Frame,RF-RearSeatFrame,EA,,,,,,,,,,,,,
"Interior Panels to Matte Gray (7 pieces per car: Dash, Center Counsel, 2door panels, Overhead,  2 rear side panels)",,A,1.00,EA,4.0,,Interior,,,,,,,Maaco,,,EA,6,,,,,,,,,,,,
Upholstry Completion of Seat Back in Black,RF-RearSeatBack,A,1.00,EA,4.0,,Interior,,,,,,,Migel's Upholstry,Rear Seat Back,RF-RearSeatBack,EA,6,,,,,,,,,,,,
Rear View Mirro Glue,7651184,A,1.00,EA,,,Interior,,,,,,,"Napa, Mel's Auto",Rear View Mirror Glue,7651184,EA,1,,,,,,,,,,,,
"Headliner Foam 1/2""  ",,A,3.00,Sq/YD,,,Interior,,,,,,,Phoenix Trim,,,Sq/YD,1,,,,,,,,,,,,
Vinyl Headliner Material,,A,3.00,Sq/YD,,,Interior,,,,,,,Phoenix Trim,,,Sq/YD,1,,,,,,,,,,,,
Black Thread for Headliner sewing,,A,0.10,Rolls,,,Interior,,,,,,,Phoenix Trim,,,Roll,1,,,,,,,,,,,,
Front Floor Pans Kit ,RF-FlrPanKit,A,1.00,EA,,,Interior,,,,,,,RC Fabrication,Front Floor Pan Kit ,RF-FlrPanKit,EA,6,,,,,,,,,,,,
LH Floor Pan,RF-FlrPanLHFront,A,1.00,EA,7.0,,Interior,A,7%,A,"$43,552",68%,,RC Fabrication,LH Floor Pan,RF-FlrPanLHFront,EA,6,,,,,,,,,,,,
RH Floor Pan,RF-FlrPanRHFront,A,1.00,EA,7.0,,Interior,A,7%,A,"$43,912",68%,,RC Fabrication,RH Floor Pan,RF-FlrPanRHFront,EA,6,,,,,,,,,,,,
Front Rear Floor Pan ,RF-FlrPanRear,A,1.00,EA,7.0,,Interior,A,107%,A,,,,RC Fabrication,Front Rear Floor Pan ,RF-FlrPanRear,EA,6,,,,,,,,,,,,
Rear Floor Pan & Side Close out Kit,RF-Rear&RearSide-Kit,A,1.00,Ea,,,Interior,,,,,,,RC Fabrication,Rear Floor Pan & Side Close out Kit,RF-Rear&RearSide-Kit,EA,6,,,,,,,,,,,,
Rear Seat & Trunk Floor,RF-RearSeatTrunkFlr,A,1.00,EA,7.0,,Interior,A,207%,A,,,,RC Fabrication,Rear Seat & Trunk Floor,RF-RearSeatTrunkFlr,EA,6,Don Horn,,,6,,,,,,,,
LH Rear Close Out Interior,RF-RearLHClose,A,1.00,EA,7.0,,Interior,A,307%,A,,,,RC Fabrication,LH Rear Close Out Interior,RF-RearLHClose,EA,6,Don Horn,,,6,,,,,,,,
RH Rear Close Out Interior,RF-RearRHClose,A,1.00,EA,7.0,,Interior,A,407%,A,,,,RC Fabrication,RH Rear Close Out Interior,RF-RearRHClose,EA,6,Don Horn,,,6,,,,,,,,
LH Door Panel,RF-LH-DoorPanel-Gen2,A,1.00,EA,7.0,,Interior,,,,,,,RC Fabrication,LH Door Panel,RF-LH-DoorPanel-Gen2,EA,6,Don Horn,,,6,,,,,,,,
RH Door Panel,RF-RH-DoorPanel-Gen2,A,1.00,EA,7.0,,Interior,,,,,,,RC Fabrication,RH Door Panel,RF-RH-DoorPanel-Gen2,EA,6,Don Horn,,,6,,,,,,,,
RH Kick Panel,RF-RH-KickPanel-Gen2,A,1.00,EA,7.0,,Interior,,,,,,,RC Fabrication,RH Kick Panel,RF-RH-KickPanel-Gen2,EA,6,Don Horn,,,6,,,,,,,,
LH Kick Panel ,RF-LH-KickPanel-Gen2,A,1.00,EA,7.0,,Interior,,,,,,,RC Fabrication,LH Kick Panel ,RF-LH-KickPanel-Gen2,EA,6,Don Horn,,,6,,,,,,,,
Clear RTV Caulking,DY-49280,A,0.35,EA,,,Interior,A,7%,C,"$63,980",100%,,Terminal Supply,CLEAR RTV SILICONE SEALANT - INDUSTRIAL GRADE  11 OZ CARTRIDGE,,,,,,,,,,,,,,,
Black RTV Caulking,DY-49297,A,1.50,EA,,,Interior,A,7%,C,"$61,827",96%,,Terminal Supply,BLACK RTV SILICONE SEALANT - INDUSTRIAL GRADE 11 OZ CARTRIDGE,,,12,,,,,,,,,,,,
Carpet Clip,00206-00802,A,4.00,EA,2.0,Toyota,Interior,,,,,,,toyotapartszone.com,Carpet Clip,00206-00802,EA,2,,,,,,,,,,,,
Driver Seat ,,01,1.00,EA,,,Interior,,,,,,,,,,EA,,,,,,,,,,,,,
Passenger seat ,,01,1.00,EA,,,Interior,,,,,,Prep,,,,EA,,,,,,,,,,,,,
White Dome light  ( 1 LED),1HP6-W,A,1.00,EA,,,Lighting,,,,,,,autolumination,"Accent Light White, Stainless steel",1HP6-W,EA,1,,,,,,,,,,,,
Red Dome Light  (9 Led),1HP6-R,A,1.00,EA,,,Lighting,C,1%,C,"$62,492",97%,prep,autolumination,"Accent Light,Red, Stainless steel",1HP6-R,EA,1,,,,,,,,,,,,
"Front Turn Signal, Amber",8947007,A,2.00,EA,,Hella,Lighting,C,1%,C,"$60,787",95%,,Hella Inc.-USA,8947 55mm Clear Turn/Park Lamp,8947007,EA,50,,,,,,,,,,,,
Civic 06-08 Two Door Taillight ,HD109-A1201CR,A,1.00,pair,,,Lighting,,Lighting,B,,,Prep,Lenobe.com,"06-08 Honda Civic FG Coupe LED Tail Lights JDM Red Clear See details
06-08 Honda Civic FG Coupe LED Tail Lights JDM Red Clear",03-HC06TLED,EA,1,Civic-united.com,Civic 06-08 Two Door LED Taillight ,03-HC06TLED,,,PDI Auto Parts ,"06-08 Honda Civic FG Coupe LED Tail Lights JDM Red Clear See details
06-08 Honda Civic FG Coupe LED Tail Lights JDM Red Clear",EE-HD520,,,,
Headlight Backing Plate,RFN-0A36-053,A,2.00,EA,,,Lighting,,,,,,,Local Motors,,,EA,1,,,,,,,,,,,,
"Nut, M5, Flange, Steel, Zinc, Nylon, (tail lights to body)",92461A200,A,8.00,EA,,,Lighting,C,1%,C,"$64,183",100%,,McMaster-Carr,"Class 8 Steel Nylon-insert Hex Flange Locknutznc-pltd, M5 Size, .8mm Pitch, 8mm W, 7.1mm H",92461A200,EA,100,,,,,,,,,,,0.01,
07-11 Jeep Wrangler head light assembly,CS335-B001P,A,1.00,Pair,,,Lighting,,,B,,,prep,Confidential Local Motors,Set Headlight Assy 07-11 Jeep  Wrangler (LH),CS335-B001L & CS335-B001R,EA,25,American Headlights,(Via Amazon),,,,PDI Auto Parts,07-11 Jeep Wrangler head light assembly,CS335-B001P,1,,,
Rear Side Running Light Socket,33513-S2A-003,A,2.00,EA,,Honda,Lighting,C,1%,C,"$63,082",98%,,Tempe Honda,Socket T10,33513-S2A-003,EA,1,,,,,,,,,,,0.01,
Back-up Light Socket,33511-S5P-A01,A,2.00,EA,,Honda,Lighting,C,1%,C,"$63,101",98%,,Tempe Honda,Socket T16,33511-S5P-A01,EA,1,,,,,,,,,,,0.02,
Connector 2P,04321-SVA-305,A,2.00,EA,,Honda,Lighting,,,C,,,,Tempe Honda,Connector 2P,04321-SVA-305,EA,5,,,,,,,,,,,,
Connector 2P,04321-SDN-305,A,2.00,EA,,Honda,Lighting,,,C,,,,Tempe Honda,Connector 2P,04321-SDN-305,EA,1,,,,,,,,,,,,
"921 Bulb, (backup)",921L,A,2,EA,,,Lighting,A,0.03,C,63905.58369,0.9953848248,,Terminal Supply,T-5 5/8 MINIATURE BULBS ,921L,EA,10,,,,,,,,,,,,
"168 Bulb, (side marker)",168L,A,2,EA,,,Lighting,A,0.03,C,64157.26596,0.9993049942,,Terminal Supply,T-3 1/4 MINIATURE BULBS ,168L,EA,10,,,,,,,,,,,,
Front Side Turn Signal,341-1409P-A-VC,A,1.00,Pair,,?,Lighting,C,1%,C,"$61,901",96%,Prep,Unique Style Racing,2000-04 VW PASSAT B5.5 EURO CLEAR SIDE LIGHTS 02 03 04,,,,,,,,,,,,,,0.50,
Front Bumper Sub-Assembly,RF-SubAssy-FrontBumper,A,1.00,EA,,,Safety,,,,,,,Advanced Metal Supply,,,,,,,,,,,,,,,,
Rear Bumper Assembly,RFN-5052-072,A,1.00,EA,,,Safety,,,,,,,Advanced Metal Supply,,,EA,10,,,,,,,,,,,,
2.5lb ABC Fire Extinguisher,B417-TS,A,1.00,EA,3.0,,Safety,A,7%,B,"$59,328",92%,,Canyon Fire Extinguisher,Model B417TS,,EA,5,,,,,,,,,,,,
Front Bumper Assembly,RFN-5052-029,A,1.00,EA,,,Safety,,,,,,,Local Motors,,,EA,10,,,,,,,,,,,,
Front Seat Belt w/hardware,F-2-RW3,A,2.00,EA,20.0,,Safety,C,1%,B,,,,Confidential Local Motors,Seat Belt 3 point (Long Receptacle),F-2-RW3,EA,100,,,,,,,,,,,,
Rear Seat Belt  w/hardware,F-2-7034,A,2.00,EA,20.0,,Safety,C,1%,B,,,,Confidential Local Motors,Seat Belt 3 point (Short Receptacle),F-2-7034,EA,100,,,,,,,,,,,,
Bump Stop ,AL3Z-4730 A,A,2.00,EA,,Ford,Suspension,,,C,,,,Chapman Ford,Bump Stop ,AL3Z-4730 A,EA,1,,,,,,,,,,,,
Bushing  RLCA  (two per arm rear lower),2869.01,,4.00,EA,8.0,,Suspension,A,8%,B,"$60,603",94%,,Energy Suspension,Bushing,,EA,,,,,,,,,,,,,
"RLCA pivot sleeves (7/8""ODx 5/8""ID-3"")",15.10.34.39,,2.00,EA,8.0,,Suspension,A,8%,C,"$63,199",98%,,Energy Suspension,Sleeve,,EA,,,,,,,,,,,,,
LH Upright Coped Tube ,RF-LHUprightTube,A,1.00,EA,6.0,,Suspension,,,,,,,Industrial Metal Supply,LH Upright Coped Tube ,RF-LHUprightTube,EA,35,,,,,,,,,,,,
RH Upright Coped Tube ,RF-RHUprightTube,A,1.00,EA,6.0,,Suspension,,,,,,,Industrial Metal Supply,RH Upright Coped Tube ,RF-RHUprightTube,EA,35,,,,,,,,,,,,
"Front Shock,KING, Internal Bypass,Piggyback Resv, w/springs, spacers, bushings",??,01,2.00,EA,,King,Suspension,,,,,,,King Shocks,,,,2,,,,,,,,,,,,
"Rear Shock,KING, Internal Bypass,Piggyback Resv, w/springs, spacers, bushings",??,01,2.00,EA,,King,Suspension,,,,,,,King Shocks,,,,2,,,,,,,,,,,,
Bracket Bump Stop (Welded and powder Coat),RF-BumpStop-Gen2,A,2.00,EA,,,Suspension,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Rear Upper Control Arm ,RF-RearUpper-CA-Gen2,A,2.00,EA,,,Suspension,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Rear Lower Control arm LH,RFN-0A36-275,A,2.00,EA,,,Suspension,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Rear Lower Control arm RH,RFN-0A36-276,A,2.00,EA,,,Suspension,,,,,,,Local Motors,,,,,,,,,,,,,,,,
PREP OF SHOCKS PER CAR (PRELOAD / CROSS OVER / CHARGING),CAN KING DO??/,,2.00,HRS,,,SUSPENSION,,,,,,,Local Motors,,,,,,,,,,,,,,,,
Spacer Front Swaybar,RFN-0PTW-039,A,2.00,EA,,,Suspension,,,,,,,Local Motors,,,EA,,,,,,,,,,,,,
Rear Swaybar Mount,RFN-0A36-077,A,2.00,EA,,,Suspension,,,,,,,Local Motors,,,EA,,,,,,,,,,,,,
Swaybar 841 Bronze Bushing,1677K22,A,4.00,EA,,,Suspension,A,8%,C,"$61,789",96%,,McMaster-Carr,"Ptfe-lubricated Sae 841 Bronze Flanged Brng For 1-1/4"" Shaft Dia, 1-1/2"" Od, 1"" Length",1677K22,EA,1,,,,,,,,,,,,
Swaybar Retainer Clip,98410A145,A,4.00,EA,,,Suspension,A,8%,C,"$64,117",100%,,McMaster-Carr,"External Retaining Ring Zinc Yellow Plated Steel, For 1-1/4"" Shaft Dia",98410A145,EA,25,,,,,,,,,,,,
"Shim, 1-1/4""IDx1-7/8""ODx.134"", (swaybar pivot)",97669A430,A,4.00,EA,,,Suspension,A,8%,C,"$63,936",100%,,McMaster-Carr,"Wide-rim Zinc-plated Steel Shim .134"" Thick, 1-1/4"" Id, 1-7/8"" Od",97669A430,EA,10,,,,,,,,,,,,
"Front Swaybar Plastic Spacer, (we cut down to )",1988T13,A,1.00,EA,,,Suspension,A,8%,C,"$62,561",97%,,McMaster-Carr,"Uhmw Polyethylene Shim Bushing Stock 1-3/4"" Od, 1-1/4"" Id, 6"" Length",1988T13,FT,1,Performance Plastic,"2"" OD x 1.25"" ID ROUGH INNER DIMENSION  Uhmw Polyethylene Tube",,10',,,,,,,,
"Threaded Bung, 7/8""-14TPI LH 1.25"" Pipe ID (Rear upper control Arms)",WTF-14L-1.245,A,2.00,EA,,,Suspension,,,,,,,Midwest Control,"Threaded Bung, 7/8""-14TPI LH 1.25"" Pipe ID (Rear upper control Arms)",WTF-14L-1.245,EA,26,QA1,"Threaded Bung, 7/8""-14TPI LH 1.25"" Pipe OD 1.75""(Rear upper control Arms)",1844142,1,,,,,,,,
"Threaded Bung, 7/8""-14TPI RH  1.25"" Pipe ID (Rear upper control Arms)",WTF-14R-1.245,A,2.00,EA,,,Suspension,,,,,,,Midwest Control,"Threaded Bung, 7/8""-14TPI RH  1.25"" Pipe ID (Rear upper control Arms)",WTF-14R-1.245,EA,26,QA1,"Threaded Bung, 7/8""-14TPI RH  1.25"" Pipe ID 1.75"" OD (Rear upper control Arms)",1844143,1,,,,,,,,
"Rod End 7/8""-14TPI RH- 7/8"" Eye",MXM-14,A,2.00,EA,,,Suspension,,,,,,,Midwest Control,"Rod End 7/8""-14TPI RH- 7/8"" Eye",MXM-14,EA,26,QA1,"Rod End 7/8""-14TPI RH- 7/8"" Eye",XMR14,1,,,,,,,,
"Rod End 7/8""- 14TPI LH -7/8"" Eye",MXML-14,A,2.00,EA,,,Suspension,,,,,,,Midwest Control,"Rod End 7/8""- 14TPI LH -7/8"" Eye",MXML-14,EA,26,QA1,"Rod End 7/8""- 14TPI LH -7/8"" Eye",XML14,1,,,,,,,,
"Jam Nut, 7/8""-14tpi RH","Nut, 7/8-14, RH, Jam, Zinc Clear",A,2.00,EA,,,Suspension,,,,,,,Midwest Control,"Jam Nut, 7/8""-14tpi RH","Nut, 7/8-14, RH, Jam, Zinc Clear",EA,26,QA1,"Jam Nut, 7/8""-14tpi RH",JNR14S,1,,,,,,,,
"Jam Nut, 7/8""-14tpi LH","Nut, 7/8-14, LH, Jam, Zinc Clear",A,2.00,EA,,,Suspension,,,,,,,Midwest Control,"Jam Nut, 7/8""-14tpi LH","Nut, 7/8-14, LH, Jam, Zinc Clear",EA,26,QA1,"Jam Nut, 7/8""-14tpi LH",JNL14S,1,,,,,,,,
"Nut, 1.25-12 RH, Jam, Zinc Clear","Nut, 1.25-12 RH, Jam, Zinc Clear",A,2.00,EA,,,Suspension,,,,,,,Midwest Control,"Nut, 1.25-12 RH, Jam, Zinc Clear","Nut, 1.25-12 RH, Jam, Zinc Clear",EA,26,QA1,"Nut, 1.25-12 RH, Jam, Zinc Clear",NR16S,1,,,,,,,,
GM Front 4x4 Hub,25976819,A,2.00,ea,,GM,Suspension,,,A,,,,Confidential Local Motors,Hub Front Wheel,TH10097,EA,1,Miin Luen Enterpirse Co ,Hub ,TH10097,100,,"Napa, Mel's Auto",Hub Front Wheel,BR930661,1,,,
Grease Cartridge ,730-5618,A,0.20,EA,,,Suspension,A,8%,C,"$64,187",100%,,"Napa, Mel's Auto",Grease Cartridge ,730-5618,,,,,,,,,,,,,,
"Rod End, 1.25-12 RH, Chromoly   ",XMR-16,A,2.00,EA,,,Suspension,A,8%,B,"$53,284",83%,,QA1,"Rod End, 1.25-12"" RH, Chromoly   ",XMR16,EA,,,,,,,,,,,,2.34,4.68
"Tube Adapter 1/2""-20TPI RH 1-1/8""Pipe OD (Rear lower arm sway linkage)",1844-124,A,2.00,EA,,,Suspension,A,8%,B,"$56,289",88%,,QA1,"Tube Adapter 1/2""-20TPI RH 1-1/8""Pipe OD (Rear lower arm sway linkage)",1844-124,EA,,,,,,,,,,,,,
"Jam Nut, 1/2""-20 LH   (For Sway bar Rod ends)",JNL8S,A,4.00,EA,3.0,,Suspension,A,8%,C,"$64,122",100%,,QA1,"Jam Nut, 1/2 LH",JNL8S,EA,,,,,,,,,,,,,
"Jam Nut, 1/2""-20 RH  (For Sway bar Rod ends)",JNR8S,A,4.00,EA,3.0,,Suspension,A,8%,C,"$64,123",100%,,QA1,"Jam Nut, 1/2 RH",JNR8S,EA,,,,,,,,,,,,,
"1"" Teflon Uniball, (lower front Arm ball joint only )",AIB-16T,A,2.00,EA,3.0,,Suspension,A,8%,B,"$56,289",88%,,QA1,"1in Uniball, wide series, stainless steel, PTFE lined",AIB-16T,EA,,,,,,,,,,,,0.84,1.69
Tube Adapter 1.25-12 RH 1.75 ID Tube (lower arms rear),C73-16RH,A,2.00,EA,,,Suspension,,,C,,,,Rod End Supply,Tube Adapter 1.25-12 RH 1.75 ID Tube ,C73-16RH,EA,20,,,,,,,,,,,,
"4"" Swaged Tube   (Front sway linkage)",34-4,A,2.00,EA,,,Suspension,A,8%,C,"$61,883",96%,,Rod End Supply,3/4x1/2x4 Steel Rad Rod,34-4,EA,1,,,,,,,,,,,,
"10"" Steel Swaged Tube  (Rear Sway Linkage)",34-10,A,2.00,EA,,,Suspension,,,,,,,Rod End Supply,"10"" Steel Swaged Tube",34-10,EA,1,,,,,,,,,,,,
Front Upper Billet Arms,RFN-6061-043,A,2.00,EA,,,Suspension,,,,,,,Rugo Machine Shop Services ,Upper Arm,Upper Arm,EA,12,,,,,,,,,,,,
Front Lower Billet Arms,RFN-6061-033,A,2.00,EA,,,Suspension,,,,,,,Rugo Machine Shop Services ,Lower Arm,Lower Arm,EA,12,,,,,,,,,,,,
Front Lower Shock Mount Forward,RFN-6061-234,A,2.00,EA,,,Suspension,,,,,,,Rugo Machine Shop Services ,Shock Mount Front Back,Shock Mount Front Back,EA,,,,,,,,,,,,,
Front Lower Shock Mount Rearward,RFN-6061-235,A,2.00,EA,,,Suspension,,,,,,,Rugo Machine Shop Services ,Shock Mount Front Front,Shock Mount Front Front,EA,,,,,,,,,,,,,
Front Swaybar  42.75'  LONG,RFN-4130-054,A,1.00,EA,,,Suspension,,,,,,,Speedway,,,EA,,,,,,,,,,,,,
"Rear Sway bar 48.875""  LONG",RFN-4130-055,A,1.00,EA,,,Suspension,,,,,,,Speedway,,,EA,,,,,,,,,,,,,
Rear Swaybar Arm   ,RFN-0A36-117,A,2.00,EA,,,Suspension,,,,,,,Speedway,,,EA,,,,,,,,,,,,,
3/4 Threaded Bung LH,3/4-THREADED-BUNG-LH,A,2.00,EA,3.0,,Steering,,,,,,,Tatum Motor Sports,,LEFT 3/4 SPUD ,EA,1,,,,,,,,,,,,
3/4 Threaded Bung RH,3/4-THREADED-BUNG-RH,A,2.00,EA,3.0,,Steering,,,,,,,Tatum Motor Sports,,RIGHT 3/4 SPUD,EA,1,,,,,,,,,,,,
"5/8""Thread x 1/2"" ID RH Rod end Teflon w/ spacers (Upper arms inside)",RSMX8T-101,A,4.00,EA,,,Suspension,,,,,,,Tatum Motor Sports,1/2 x 5/8  RH HI-MIS 3 pc W/ Teflon ,RSMX8T-101,EA,1,Option is to do one without spacer  for $8.00 cheaper,,,,,,,,,,,
"5/8"" RH Jam Nut",5/8  JAM NUT ,A,4.00,EA,,,Suspension,,,,,,,Tatum Motor Sports,5/8 RIGHT JAM NUT,5/8 RIGHT JAM NUT,EA,,,,,,,,,,,,,
"3/4""-12tpi x 3/4"" ID LH  Rod End  (Tie Rod)",JMXL12-LH,A,2.00,EA,,,Suspension,,,,,,,Tatum Motor Sports,3/4 x 3/4 LH Precision 3PC High Strength W/ Teflon,JMXL12-LH,EA,,,,,,,,,,,,,
"3/4""-12TPI LH Jam Nut   (Tie Rod)","3/4""-12TPI-LH-JamNut",A,2.00,EA,,,Suspension,Tatum Motor Sports,,,,,,Tatum Motor Sports,3/4 Left Jam Nut,3/4 Left Jam Nut,EA,,,,,,,,,,,,,
"3/4""-12tpi x 3/4"" ID RH  Rod End  (Tie Rod & Outer Upper Arm)",JMXL12T,A,4.00,EA,,,Suspension,,,,,,,Tatum Motor Sports,3/4 x 3/4 RH Precision 3PC High Strength W/ Teflon,JMX12T,EA,1,,,,,,,,,,,,
