LM Description,Part#,LM Revision,Qty Per Car,U/M,L/T Wks,Make,System Group,ABC by System,ABC % by System,ABC  by Part,ABC Running $'s by Part,%total $ by part,LM/Prep,Supplier #1,Description Supplier #1,P/N Supp#1,U/M,MOQ #1,Supplier #2,Description Supplier #2,P/N Supp#2,MOQ #2,L/T#2,Supplier #3,Description Supplier #3,P/N Supp#3,MOQ #3,Specifications,Weight (lbs.),X weight
Nose Cone,7901-02-15,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,Nose Cone,7901-02-15,,,,,,,,,,,,,,
Trunk Lower Outer,7901-02-16,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,Trunk Lower Outer,7901-02-16,,,,,,,,,,,,,,
LH Rear Bumper Cover,7901-02-17,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,LH Rear Bumper Cover,7901-02-17,,,,,,,,,,,,,,
LH Rear Fender Cover,7901-02-18,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,LH Rear Fender Cover,7901-02-18,,,,,,,,,,,,,,
LH Underbelly Side,7901-02-19,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,LH Underbelly Side,7901-02-19,,,,,,,,,,,,,,
RH Rear Bumper Cover,7901-02-20,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,RH Rear Bumper Cover,7901-02-20,,,,,,,,,,,,,,
RH Rear Fender Cover,7901-02-21,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,RH Rear Fender Cover,7901-02-21,,,,,,,,,,,,,,
RH Underbelly Side,7901-02-22,A,1.00,EA,12.0,Romarine,Body,A,20%,A,"$64,202",100%,,Confidential Local Motors,RH Underbelly Side,7901-02-22,,,,,,,,,,,,,,
"Thread Tapping Screw, Phillips, Black, 8-18x3/4"", (body fastening)",92715A620,A,6.00,EA,,,Body,A,20%,C,"$63,993",100%,,SG Supply,"Oval Head Phil Self-drilling Screw W/ Washer Black Znc-pltd Stl,8-18 Thrd,3/4"" L,drill Point #2",DIS1303,EA,1000,McMaster-Carr,"Oval Head Phil Self-drilling Screw W/ Washer Black Znc-pltd Stl,8-18 Thrd,3/4"" L,drill Point #2",92715A620,25,,,,,,,,
"Door P1 seal (145""/door)",SD-12158,A,24.17,FT,8.0,Uni-Grip,Body,A,20%,C,"$62,254",97%,,"Uni-grip, Inc","Door P1 seal Cut to (145""/door)",SD-12158,EA,,,,,,,,,,,,,
"Trunk seal (129"")",SD-12136,A,10.75,FT,8.0,Uni-Grip,Body,A,20%,C,"$63,249",99%,,"Uni-grip, Inc","Trunk seal (129"")",SD-12136,EA,,,,,,,,,,,,,
"Hood stick-on seal (79"")",SD-503-IT-0S,A,6.58,FT,8.0,Uni-Grip,Body,A,20%,C,"$63,608",99%,,"Uni-grip, Inc","Hood stick-on seal (79"")",SD-503-IT-0S,EA,,,,,,,,,,,,,
Cat push-on seal(35ft/RF),SD-12150,A,35.00,FT,8.0,Uni-Grip,Body,A,20%,C,"$61,750",96%,,"Uni-grip, Inc",Cat push-on seal(35ft/RF),SD-12150,FT,100,,,,,,,,,,,,
